CATEGORY,START_TIME,ROAD
2,2024-05-13 00:30:00,Восточно-Сибирская
3,2024-05-13 01:30:00,Свердловская
3,2024-05-13 05:30:00,Забайкальская
3,2024-05-13 05:52:00,Западно-Сибирская
3,2024-05-13 06:36:00,Западно-Сибирская
3,2024-05-13 23:45:00,Забайкальская
1,2024-05-14 12:11:00,Красноярская
1,2024-05-14 16:26:00,Восточно-Сибирская
2,2024-05-14 21:00:00,Красноярская
3,2024-05-15 01:09:00,Красноярская
2,2024-05-15 06:30:00,Восточно-Сибирская
2,2024-05-15 06:32:00,Восточно-Сибирская
2,2024-05-15 06:35:00,Восточно-Сибирская
3,2024-05-15 09:56:00,Забайкальская
2,2024-05-15 10:20:00,Восточно-Сибирская
3,2024-05-15 11:23:00,Московская
3,2024-05-15 12:10:00,Красноярская
3,2024-05-15 12:20:00,Красноярская
2,2024-05-15 23:16:00,Восточно-Сибирская
